Unit Number	RUL	Altitude	Mach number	Throttle resolver angle 	Total temperature at fan inlet	Total temperature at LPC outlet	Total temperature at HPC outlet	Total temperature at LPT outlet	Pressure at fan inlet	Total pressure in bypass-duct	Total pressure at HPC outlet	Physical fan speed	Physical core speed	Engine pressure ratio (P50/P2)	Static pressure at HPC outlet	Ratio of fuel flow to Ps30	Corrected fan speed	Corrected core speed	Bypass Ratio	Burner fuel-air ratio	Bleed Enthalpy	Demanded fan speed	Demanded corrected fan speed	HPT coolant bleed	LPT coolant bleed
1	125	-0.0019	0.0003	100	518.67	642.6	1592.1	1398.26	14.62	21.61	554.11	2388.01	9073.71	1.3	47.28	522.03	2387.97	8150.46	8.3755	0.03	392	2388	100	39.14	23.269
1	125	0.0003	0	100	518.67	642.44	1583.27	1399.17	14.62	21.61	554.16	2388.02	9066.97	1.3	47.27	522.29	2388.04	8150.94	8.3998	0.03	394	2388	100	39.02	23.3188
1	125	0.003	-0.0004	100	518.67	642.37	1586.75	1393.83	14.62	21.61	553.91	2388.04	9076.18	1.3	47.28	521.94	2388.01	8149.51	8.3804	0.03	390	2388	100	38.92	23.3822
1	125	-0.0008	0.0004	100	518.67	642.41	1590.26	1398.51	14.62	21.61	554.27	2387.98	9068.53	1.3	47.08	522.01	2388.04	8148.25	8.4073	0.03	392	2388	100	38.97	23.3748
1	125	-0.0012	0	100	518.67	642.2	1587.71	1390.26	14.62	21.61	554.71	2387.99	9067.59	1.3	47.21	522.4	2387.98	8153	8.3567	0.03	391	2388	100	38.9	23.4784
1	125	0.0002	0.0003	100	518.67	642.61	1583.3	1403.78	14.62	21.61	554.09	2387.97	9063.21	1.3	47.24	521.69	2387.93	8150.07	8.3914	0.03	391	2388	100	38.97	23.3179
1	125	0.0006	-0.0002	100	518.67	642.45	1583.03	1400.06	14.62	21.61	553.12	2388.03	9064.82	1.3	47.34	522.4	2388.04	8150.1	8.411	0.03	391	2388	100	38.91	23.439
1	125	0.0007	-0.0004	100	518.67	642.48	1584.68	1406.3	14.62	21.61	554.8	2388.03	9068.35	1.3	47.22	522.28	2388.04	8145.58	8.4074	0.03	392	2388	100	38.99	23.4086
1	125	0.0002	0.0004	100	518.67	642.25	1587.23	1401.26	14.62	21.61	554.56	2388.01	9066.05	1.3	47.12	522.42	2388.02	8150.6	8.4106	0.03	391	2388	100	38.93	23.4395
1	125	0.0008	0	100	518.67	642.79	1585.25	1396.05	14.62	21.6	554.24	2388.01	9067.08	1.3	47.07	522.67	2388.03	8148.37	8.4308	0.03	394	2388	100	38.96	23.4014
1	125	-0.0024	-0.0003	100	518.67	642.47	1586.13	1396.03	14.62	21.61	554.29	2387.97	9074.48	1.3	47.11	522.14	2387.99	8148.7	8.3816	0.03	391	2388	100	39	23.4644
1	125	-0.0043	-0.0001	100	518.67	641.98	1587.55	1402.61	14.62	21.61	553.84	2387.98	9068.44	1.3	47.17	521.89	2388.05	8148.44	8.4089	0.03	393	2388	100	39.2	23.353
1	125	0.0002	0	100	518.67	642.01	1589.14	1405.41	14.62	21.61	554.48	2387.96	9066.73	1.3	47.24	522.84	2388.01	8151.41	8.4339	0.03	393	2388	100	38.98	23.4888
1	125	-0.0001	-0.0003	100	518.67	642.52	1578.91	1406.32	14.62	21.61	554.16	2388.03	9069.03	1.3	47.31	522.32	2387.98	8148.29	8.3837	0.03	392	2388	100	38.99	23.3179
1	125	0.003	-0.0004	100	518.67	641.97	1584.13	1400.11	14.62	21.61	554.09	2388.01	9075.7	1.3	47.23	522.28	2387.98	8152.04	8.3578	0.03	391	2388	100	39.19	23.4228
1	125	0.0031	-0.0004	100	518.67	642.47	1593.91	1397.99	14.62	21.61	554.15	2388.04	9067.62	1.3	47.25	522.33	2388.02	8150.95	8.4285	0.03	390	2388	100	38.91	23.3841
1	125	0.0008	-0.0002	100	518.67	641.82	1583.91	1403.75	14.62	21.61	554.73	2388.01	9065.3	1.3	47.32	522.76	2388.04	8151.24	8.3982	0.03	391	2388	100	38.98	23.4328
1	125	-0.0006	0.0002	100	518.67	642.49	1589.38	1399.53	14.62	21.61	554.89	2388	9072.87	1.3	47.34	522.81	2387.98	8146.73	8.4168	0.03	391	2388	100	38.92	23.3717
1	125	-0.0035	-0.0003	100	518.67	642.15	1589.05	1391.23	14.62	21.61	554.01	2387.96	9068	1.3	47.31	522.59	2387.97	8153.43	8.398	0.03	391	2388	100	39.07	23.4992
1	125	0	-0.0002	100	518.67	642.16	1586.02	1397.9	14.62	21.61	554.5	2387.97	9072.46	1.3	47.36	521.68	2387.99	8147.89	8.4487	0.03	391	2388	100	39.03	23.2868
1	125	0.0005	0	100	518.67	642.01	1585.57	1399.69	14.62	21.61	554.3	2388.03	9072.09	1.3	47.36	521.77	2388.03	8152.11	8.4355	0.03	391	2388	100	38.79	23.2883
1	125	0.0006	-0.0005	100	518.67	642.07	1580.92	1401.99	14.62	21.61	554.2	2388.04	9072.69	1.3	47.35	521.81	2387.95	8142.59	8.4185	0.03	391	2388	100	38.97	23.4363
1	125	0.0002	0.0001	100	518.67	642.88	1589.68	1399.78	14.62	21.61	553.99	2388.05	9068.54	1.3	47.11	522.55	2388.05	8153.08	8.4486	0.03	392	2388	100	39.07	23.3217
1	125	-0.002	-0.0005	100	518.67	642.34	1591.65	1401.42	14.62	21.61	554.43	2388.02	9071.32	1.3	47.26	522.22	2388.05	8148.04	8.4294	0.03	393	2388	100	39.14	23.3813
1	125	0.0032	0.0004	100	518.67	642.58	1583.72	1397.76	14.62	21.61	553.97	2388.03	9073.21	1.3	47.19	522.21	2387.98	8145.76	8.4168	0.03	391	2388	100	39.13	23.4798
1	125	0.0012	0.0002	100	518.67	641.91	1582.17	1402.51	14.62	21.61	554.38	2388.02	9076.78	1.3	47.26	522.23	2388.06	8144.3	8.4528	0.03	392	2388	100	39.04	23.3875
1	125	-0.0004	-0.0004	100	518.67	642.02	1586.87	1397.72	14.62	21.61	554.42	2388.04	9073.4	1.3	47.34	522.23	2388.03	8148.12	8.4825	0.03	393	2388	100	39.05	23.3951
1	125	-0.0004	-0.0001	100	518.67	641.86	1583.99	1399.91	14.62	21.61	554.14	2388.01	9065.14	1.3	47.22	522.22	2388.01	8151.44	8.428	0.03	393	2388	100	39.02	23.3814
1	125	-0.001	0.0004	100	518.67	642.22	1587.16	1396.3	14.62	21.61	553.64	2388	9064.8	1.3	47.19	522.32	2387.98	8150.37	8.3836	0.03	393	2388	100	39.02	23.4318
1	125	0.0017	0	100	518.67	642.85	1586.17	1400.01	14.62	21.61	554.37	2387.98	9068.07	1.3	47.15	522.64	2388.02	8155.63	8.4061	0.03	392	2388	100	38.77	23.3529
1	125	-0.0072	-0.0001	100	518.67	642.02	1581.99	1399.58	14.62	21.61	554.14	2388	9070.8	1.3	47.29	521.91	2388.08	8148.31	8.3727	0.03	391	2388	100	38.96	23.3415
1	125	0	0.0001	100	518.67	642.86	1578.35	1400.19	14.62	21.61	554.23	2388.01	9074.23	1.3	47.22	522.15	2388.09	8153.43	8.4288	0.03	391	2388	100	38.88	23.4148
1	125	0.0008	0.0003	100	518.67	642.03	1583.5	1400.42	14.62	21.61	553.98	2388.02	9070.53	1.3	47.08	522.01	2388.03	8150.68	8.3895	0.03	391	2388	100	38.99	23.4047
1	125	0.0028	0.0003	100	518.67	641.53	1586.62	1393.1	14.62	21.61	554.63	2388.01	9067.76	1.3	47.22	521.93	2387.98	8153	8.408	0.03	393	2388	100	38.85	23.458
1	125	0.0021	0	100	518.67	642.13	1581.98	1402.49	14.62	21.61	553.72	2388.02	9070.82	1.3	47.02	522.32	2388.06	8153.66	8.4433	0.03	394	2388	100	38.94	23.4212
1	125	-0.0018	-0.0005	100	518.67	642.55	1587.08	1402.42	14.62	21.61	554.5	2388.02	9064.56	1.3	47.19	522.19	2388.05	8151.48	8.4196	0.03	393	2388	100	39.12	23.3853
1	125	-0.0053	-0.0004	100	518.67	641.85	1587.23	1401.86	14.62	21.61	555.2	2388.01	9063.6	1.3	47.25	521.93	2388.04	8152.49	8.3843	0.03	393	2388	100	39	23.3097
1	125	0.0035	0.0001	100	518.67	641.94	1585.55	1398.99	14.62	21.61	554.75	2388.03	9066.72	1.3	47.27	521.97	2388.07	8153.01	8.3854	0.03	390	2388	100	38.98	23.3584
1	125	0.0003	-0.0004	100	518.67	642.57	1587.23	1399.21	14.62	21.61	553.87	2388.02	9070.36	1.3	47.43	522.11	2388.04	8149.97	8.4385	0.03	395	2388	100	38.96	23.4284
1	125	-0.0012	0.0003	100	518.67	642.07	1590.38	1403.18	14.62	21.61	554.77	2388.02	9065.76	1.3	47.34	522.02	2387.96	8145.53	8.4299	0.03	393	2388	100	38.88	23.4409
1	125	-0.004	0.0001	100	518.67	642.27	1584.76	1399.41	14.62	21.61	553.7	2388.05	9066.48	1.3	47.46	521.75	2388.05	8155.21	8.4388	0.03	392	2388	100	39.02	23.4712
1	125	0.0006	0.0004	100	518.67	641.46	1587.88	1396.91	14.62	21.61	553.85	2387.99	9067.25	1.3	47.23	522.05	2388.01	8145.17	8.4211	0.03	392	2388	100	39.08	23.3099
1	125	0.0001	-0.0002	100	518.67	642.67	1593.73	1406.77	14.62	21.61	555.48	2388.06	9069.17	1.3	47.18	522.79	2388.02	8149.34	8.4099	0.03	392	2388	100	38.88	23.4671
1	125	-0.0011	-0.0002	100	518.67	642.33	1581.98	1398.82	14.62	21.61	554.22	2388.03	9077.2	1.3	47.34	522.08	2387.99	8153.72	8.3848	0.03	392	2388	100	39.03	23.3154
1	125	-0.002	-0.0004	100	518.67	642.58	1592.53	1406.11	14.62	21.61	554.64	2388.02	9063.78	1.3	47.37	522.34	2388.05	8144.94	8.3901	0.03	394	2388	100	38.92	23.3784
1	125	0.0016	-0.0004	100	518.67	641.88	1587.25	1398.36	14.62	21.61	553.74	2388	9076.64	1.3	47.32	522.04	2387.98	8140.49	8.3986	0.03	393	2388	100	38.92	23.3472
1	125	0.0019	-0.0001	100	518.67	642.59	1581.57	1403.57	14.62	21.61	554.65	2388.05	9074.6	1.3	47.43	522.15	2388	8152.64	8.3652	0.03	392	2388	100	38.95	23.3151
1	125	0.0029	0.0002	100	518.67	642.7	1585.22	1394.97	14.62	21.6	554.19	2387.97	9071.37	1.3	47.09	522.4	2388.02	8151.88	8.3962	0.03	392	2388	100	38.9	23.247
1	125	0.0027	-0.0001	100	518.67	642.8	1577.32	1406	14.62	21.61	554.29	2388.02	9067.45	1.3	47.31	522.18	2388.02	8150.69	8.4321	0.03	392	2388	100	38.93	23.3817
1	125	-0.0028	0.0003	100	518.67	642.12	1587.08	1398.42	14.62	21.61	553.97	2388.04	9066.45	1.3	47.36	522.14	2388.05	8152.69	8.4205	0.03	393	2388	100	38.78	23.4411
1	125	0.0007	-0.0004	100	518.67	642.22	1584.55	1388.13	14.62	21.61	554.57	2388.07	9066.66	1.3	47.45	522.43	2388.05	8145.15	8.4114	0.03	392	2388	100	38.85	23.363
1	125	-0.0009	0.0003	100	518.67	642.17	1583.35	1402.22	14.62	21.61	553.88	2388.1	9069.55	1.3	47.34	522.14	2388.02	8152.62	8.4121	0.03	393	2388	100	39.08	23.4234
1	125	0.0012	0.0003	100	518.67	642.83	1584.77	1402.31	14.62	21.61	554	2388.04	9070.04	1.3	47.22	522.13	2388.08	8153.16	8.4409	0.03	393	2388	100	38.93	23.3767
1	125	0.0011	0	100	518.67	642.11	1582.26	1402.79	14.62	21.61	553.71	2388.01	9065.77	1.3	47.52	521.92	2387.99	8151.54	8.4052	0.03	392	2388	100	39.09	23.382
1	125	-0.0026	0.0005	100	518.67	642.62	1586.4	1400.24	14.62	21.61	554.66	2388.01	9074.03	1.3	47.21	522.16	2388.01	8150.24	8.4032	0.03	391	2388	100	38.89	23.4552
1	125	0.0019	-0.0002	100	518.67	642.22	1588.28	1397.95	14.62	21.61	554.91	2387.99	9069.34	1.3	47.25	522.27	2388.04	8153.3	8.4182	0.03	392	2388	100	38.94	23.3971
1	125	0.0023	-0.0004	100	518.67	642.34	1591.43	1406.51	14.62	21.61	553.81	2388.05	9067.41	1.3	47.33	522.1	2388.04	8154.51	8.4188	0.03	391	2388	100	38.81	23.3743
1	125	-0.0005	0.0005	100	518.67	643.15	1586.31	1411.1	14.62	21.61	554.11	2388.04	9070.45	1.3	47.26	522.14	2388.05	8145.98	8.4575	0.03	393	2388	100	38.88	23.3193
1	125	0.0001	0.0004	100	518.67	642.55	1587.12	1395.09	14.62	21.61	554.26	2388.01	9063.92	1.3	47.38	522.1	2388.09	8147.9	8.3883	0.03	391	2388	100	38.97	23.3032
1	125	0.0043	0.0001	100	518.67	641.93	1590.93	1401.75	14.62	21.61	553.8	2388.05	9068.46	1.3	47.28	521.92	2388.02	8151.28	8.4153	0.03	394	2388	100	38.93	23.3787
1	125	0.0048	-0.0001	100	518.67	642.38	1588.34	1399.31	14.62	21.61	554.27	2388.08	9065.94	1.3	47.22	521.95	2388.03	8150.44	8.4068	0.03	393	2388	100	38.9	23.28
1	125	-0.0006	-0.0005	100	518.67	642.56	1590.93	1405.54	14.62	21.61	554.16	2388.02	9070.22	1.3	47.14	521.95	2388	8148.54	8.4414	0.03	392	2388	100	39.08	23.2983
1	125	0.0014	0.0003	100	518.67	642.37	1585.91	1397.9	14.62	21.61	554.55	2388.05	9076.76	1.3	47.25	522.39	2387.99	8152.41	8.4594	0.03	392	2388	100	39.01	23.3321
1	125	-0.0066	-0.0004	100	518.67	642.12	1591.36	1400.32	14.62	21.61	553.78	2387.99	9070.15	1.3	47.32	521.86	2388.04	8149.36	8.434	0.03	393	2388	100	39.04	23.3809
1	125	-0.0028	-0.0005	100	518.67	642.06	1587.4	1404.63	14.62	21.61	554.03	2387.98	9073.24	1.3	47.19	522.25	2388.01	8148.14	8.4093	0.03	392	2388	100	38.93	23.3339
1	125	0.0017	-0.0001	100	518.67	641.88	1589.21	1401.82	14.62	21.61	553.84	2388.08	9066.34	1.3	47.15	522.62	2388.02	8148.53	8.4442	0.03	393	2388	100	38.97	23.4569
1	125	0.001	-0.0005	100	518.67	642.44	1590.94	1395.41	14.62	21.6	553.42	2388.04	9070.28	1.3	47.4	522.12	2388.06	8150.81	8.4016	0.03	392	2388	100	38.87	23.3987
1	125	0.0005	0.0002	100	518.67	642.79	1585.1	1395.27	14.62	21.61	554.29	2388.06	9072.94	1.3	47.25	521.97	2388	8150.61	8.387	0.03	393	2388	100	39.13	23.2932
1	125	-0.0006	-0.0004	100	518.67	642.25	1580.37	1398.26	14.62	21.61	554.09	2388.02	9062.33	1.3	47.39	521.25	2388.07	8145.35	8.3845	0.03	393	2388	100	38.95	23.3343
1	125	-0.001	0	100	518.67	642.39	1581.54	1398.96	14.62	21.61	554.13	2387.98	9074.77	1.3	47.39	522.16	2388.02	8150	8.4266	0.03	393	2388	100	38.98	23.3836
1	125	-0.0015	0.0003	100	518.67	642.77	1581.85	1407.21	14.62	21.61	553.83	2388.05	9067.42	1.3	47.26	521.47	2388.04	8148.83	8.4409	0.03	391	2388	100	39.2	23.3679
1	125	0.0029	-0.0004	100	518.67	642.38	1590.7	1407.58	14.62	21.61	554.57	2388.05	9070.1	1.3	47.12	521.79	2388.07	8147.31	8.4276	0.03	392	2388	100	39.1	23.2054
1	125	0.0007	-0.0005	100	518.67	641.92	1583.7	1398.14	14.62	21.61	554.05	2388.03	9074.14	1.3	47.38	521.82	2388.02	8146.92	8.4109	0.03	391	2388	100	38.8	23.3515
1	125	0.0017	0.0003	100	518.67	642.02	1581.83	1400.56	14.62	21.61	553.81	2388.06	9070.68	1.3	47.32	522.88	2388.03	8142.08	8.4025	0.03	393	2388	100	38.99	23.385
1	125	-0.006	-0.0004	100	518.67	642	1592.55	1403.78	14.62	21.61	554.57	2388.03	9070.67	1.3	47.46	522.08	2388.09	8152.13	8.4357	0.03	392	2388	100	38.91	23.4777
1	125	0.0028	-0.0004	100	518.67	642.68	1583.31	1399.1	14.62	21.61	554.54	2388.04	9071.18	1.3	47.35	521.76	2388.04	8149.74	8.4101	0.03	392	2388	100	39.02	23.2968
1	125	-0.0018	0	100	518.67	642.72	1578.55	1405.78	14.62	21.61	554.1	2388.05	9059.14	1.3	47.29	522.51	2388.06	8149.56	8.4197	0.03	392	2388	100	38.91	23.3678
1	125	-0.0007	0	100	518.67	642.17	1583.66	1406.43	14.62	21.61	554	2388.07	9072.01	1.3	47.3	521.94	2387.98	8150.29	8.4481	0.03	393	2388	100	38.93	23.3135
1	125	0.0019	-0.0003	100	518.67	642.19	1583.56	1399.43	14.62	21.61	553.71	2387.99	9074.78	1.3	47.21	522.01	2388.08	8153.68	8.4342	0.03	393	2388	100	38.97	23.3991
1	125	0.0053	0.0002	100	518.67	642.26	1595.19	1404.39	14.62	21.61	553.84	2388.05	9070.17	1.3	47.1	521.93	2388.07	8153.36	8.4001	0.03	391	2388	100	39	23.4191
1	125	-0.0009	0.0001	100	518.67	641.81	1582.25	1395.27	14.62	21.61	554.69	2388	9074.2	1.3	47.17	522.35	2388	8150.9	8.4375	0.03	392	2388	100	38.7	23.457
1	125	-0.0007	0.0001	100	518.67	642.35	1591.2	1411.85	14.62	21.61	553.28	2388.08	9070.85	1.3	47.34	521.8	2388.05	8150.25	8.434	0.03	393	2388	100	39.07	23.3822
1	125	-0.0018	0.0001	100	518.67	641.84	1582.27	1404.35	14.62	21.61	553.78	2388.06	9074.18	1.3	47.37	522.36	2388	8151.73	8.3959	0.03	392	2388	100	38.81	23.4251
1	125	0.0008	0	100	518.67	641.77	1581.08	1397.31	14.62	21.61	553.87	2388.07	9068.57	1.3	47.33	521.88	2388.01	8153.68	8.422	0.03	393	2388	100	38.94	23.4846
1	125	0.0021	-0.0001	100	518.67	642.25	1589.4	1405.04	14.62	21.61	554.12	2388.05	9068.18	1.3	47.36	522.23	2388.04	8148.07	8.4194	0.03	392	2388	100	38.95	23.403
